ZCTA5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON,Total Area in Sq Mi,Lat-top,Long-left,Lat-bottom,Long-right
14608,4518243,226730,1.74,0.09,"12,268","6,108",43.153890,-77.623336,1.83,43.163698,-77.630491,43.144082,-77.616181
14609,18781935,2117163,7.25,0.82,"42,571","19,295",43.177093,-77.554873,8.07,43.197677,-77.569884,43.156509,-77.539862
14610,11259788,108865,4.35,0.04,"14,233","7,618",43.142643,-77.545602,4.39,43.157825,-77.556680,43.127461,-77.534524
14611,7496798,57021,2.89,0.02,"17,396","7,849",43.148316,-77.646987,2.92,43.160691,-77.656016,43.135941,-77.637958
14612,44225456,7105942,17.08,2.74,"34,515","15,020",43.266330,-77.676706,19.82,43.298590,-77.700197,43.234070,-77.653215
14613,4731258,92831,1.83,0.04,"14,730","6,146",43.182171,-77.640175,1.86,43.192061,-77.647386,43.172281,-77.632964
14614,628921,94229,0.24,0.04,"1,224",76,43.157442,-77.615355,0.28,43.161271,-77.618148,43.153613,-77.612562
14615,14999091,109711,5.79,0.04,"16,099","7,489",43.201252,-77.654726,5.83,43.218754,-77.667484,43.183750,-77.641968
14616,15391113,0,5.94,0.00,"28,534","12,582",43.234623,-77.657664,5.94,43.252288,-77.670534,43.216958,-77.644794
14617,19890573,1084897,7.68,0.42,"22,789","9,897",43.225496,-77.593527,8.10,43.246118,-77.608553,43.204874,-77.578501
14618,25012241,167696,9.66,0.06,"22,920","8,809",43.113525,-77.553942,9.72,43.136119,-77.570436,43.090931,-77.537448
14619,3771166,13673,1.46,0.01,"14,749","6,179",43.136456,-77.649477,1.46,43.145216,-77.655869,43.127696,-77.643085
14620,11613712,232116,4.48,0.09,"25,141","12,234",43.128291,-77.605806,4.57,43.143788,-77.617116,43.112794,-77.594496
14621,10678978,283075,4.12,0.11,"33,802","14,768",43.189938,-77.603649,4.23,43.204846,-77.614518,43.175030,-77.592780
14622,11934896,2489892,4.61,0.96,"12,108","5,750",43.215741,-77.552402,5.57,43.232842,-77.564865,43.198640,-77.539939
14623,49424146,971501,19.08,0.38,"27,173","10,169",43.087333,-77.641867,19.46,43.119298,-77.665211,43.055368,-77.618523
14624,72337716,440357,27.93,0.17,"36,296","14,868",43.128271,-77.731354,28.10,43.166683,-77.759388,43.089859,-77.703320
14625,19789324,485284,7.64,0.19,"10,387","4,801",43.150039,-77.505521,7.83,43.170313,-77.520313,43.129765,-77.490729
14626,35287528,116976,13.62,0.05,"30,041","12,885",43.216527,-77.710806,13.67,43.243319,-77.730331,43.189735,-77.691281
14627,398890,0,0.15,0.00,"2,320",0,43.128664,-77.629144,0.15,43.131508,-77.631219,43.125820,-77.627069
14701,239271752,788493,92.38,0.30,"40,730","19,132",42.080160,-79.256710,92.69,42.149924,-79.308489,42.010396,-79.204931
14706,204048907,1666387,78.78,0.64,"6,356","2,807",42.113246,-78.533146,79.43,42.177827,-78.581054,42.048665,-78.485238
14707,5147207,0,1.99,0.00,239,114,42.077338,-78.060511,1.99,42.087553,-78.068093,42.067123,-78.052929
14708,27189587,177993,10.50,0.07,183,143,42.019219,-78.063617,10.57,42.042774,-78.081117,41.995664,-78.046117
14709,130971886,78052,50.57,0.03,"1,535",992,42.356494,-77.982064,50.60,42.408039,-78.020154,42.304949,-77.943974
14710,125264642,147055,48.36,0.06,"3,540","2,297",42.087770,-79.419847,48.42,42.138194,-79.457268,42.037346,-79.382426
14711,103554871,852868,39.98,0.33,"1,766","1,031",42.326725,-78.119435,40.31,42.372734,-78.153450,42.280716,-78.085420
14712,67409466,192079,26.03,0.07,"3,342","2,237",42.183745,-79.361923,26.10,42.220766,-79.389356,42.146724,-79.334490
14714,47071994,209735,18.17,0.08,487,300,42.296728,-78.233633,18.26,42.327689,-78.256534,42.265767,-78.210732
14715,112494206,73994,43.43,0.03,"2,747","1,439",42.076532,-78.144755,43.46,42.124305,-78.180214,42.028759,-78.109296
14716,32107143,15526446,12.40,5.99,"3,104","1,029",42.390637,-79.445044,18.39,42.421713,-79.467996,42.359561,-79.422092
14717,70616866,785844,27.27,0.30,636,"1,062",42.361647,-78.179701,27.57,42.399695,-78.207815,42.323599,-78.151587
14718,85416294,1080421,32.98,0.42,"2,163","1,022",42.345814,-79.287617,33.40,42.387691,-79.318568,42.303937,-79.256666
14719,244316773,1516486,94.33,0.59,"3,497","1,767",42.341958,-78.875953,94.92,42.412556,-78.928135,42.271360,-78.823771
14720,634847,0,0.25,0.00,675,338,42.108592,-79.281179,0.25,42.112180,-79.283841,42.105004,-79.278517
14721,9666433,0,3.73,0.00,230,145,42.013888,-78.266520,3.73,42.027887,-78.276921,41.999889,-78.256119
14722,858249,0,0.33,0.00,153,"1,224",42.209489,-79.468361,0.33,42.213660,-79.471451,42.205318,-79.465271
14723,112001292,33957,43.24,0.01,"1,295",674,42.317704,-79.157231,43.26,42.365363,-79.192472,42.270045,-79.121990
14724,192441477,1523361,74.30,0.59,"2,540","1,508",42.046328,-79.669830,74.89,42.109038,-79.716398,41.983618,-79.623262
14726,105329713,1080,40.67,0.00,"2,156",685,42.253585,-79.020279,40.67,42.299796,-79.054484,42.207374,-78.986074
14727,281532567,2133791,108.70,0.82,"5,450","3,382",42.206974,-78.297252,109.52,42.282810,-78.353426,42.131138,-78.241078
14728,69400021,121437,26.80,0.05,"1,031",962,42.263333,-79.423176,26.84,42.300876,-79.450960,42.225790,-79.395392
